Month-Year,Number of Tourists (jfk),Number of Tourists (lga),Total_Tourists,Event ID,Transportation,Precipitation,Number of Arrests
January-2015,12594000,12531000,25125000,720,320336485.0,29.9,25151
Feburary-2015,12684000,12608000,25292000,784,307108527.0,23.9,26891
March-2015,12728000,12640000,25368000,1031,371333237.0,38.1,29807
April-2015,12806000,12693000,25499000,2053,365871941.0,54.3,29769
May -2015,12869000,12738000,25607000,4327,361018084.0,68.5,28489
June-2015,12924000,12802000,25726000,6627,369622990.0,71.2,28501
July-2015,13001000,12911000,25912000,7811,372888221.0,78.8,29945
August-2015,13040000,12996000,26036000,8198,331598696.0,79.0,31168
September-2015,13083000,13104000,26187000,4440,359265739.0,74.5,28503
October-2015,13136000,13214000,26350000,3350,392284949.0,58.0,28800
November-2015,13187000,13314000,26501000,1590,353613161.0,52.8,25889
December-2015,13220000,13355000,26575000,1624,359804445.0,50.8,24280
January-2016,13255000,13458000,26713000,649,325404448.0,34.5,27182
Feburary-2016,13339000,13545000,26884000,612,336855609.0,37.7,26870
March-2016,13426000,13642000,27068000,929,379218984.0,48.9,28332
April-2016,13425000,13661000,27086000,1933,358174518.0,53.3,26683
May -2016,13465000,13747000,27212000,4106,379103302.0,62.8,27930
June-2016,13525000,13817000,27342000,6640,374618834.0,72.3,26266
July-2016,13532000,13804000,27336000,8233,339113728.0,78.7,24368
August-2016,13498000,13771000,27269000,8143,357925411.0,79.2,26720
September-2016,13511000,13784000,27295000,4490,365461979.0,71.8,24845
October-2016,13494000,13740000,27234000,3528,366441803.0,58.8,26718
November-2016,13538000,13781000,27319000,1626,356956233.0,49.8,23247
December-2016,13559000,13782000,27341000,1506,350627508.0,38.3,23242
January-2017,13620000,13764000,27384000,765,335255168.0,38.0,25575
Feburary-2017,13576000,13689000,27265000,718,320330902.0,41.6,22974
March-2017,13564000,13629000,27193000,976,374998053.0,39.2,25402
April-2017,13581000,13600000,27181000,2327,354967157.0,57.2,24859
May -2017,13538000,13546000,27084000,4082,380189304.0,61.1,24819
June-2017,13524000,13495000,27019000,7005,365431907.0,72.0,23240
July-2017,13523000,13461000,26984000,8603,336016972.0,76.8,23287
August-2017,13554000,13467000,27021000,7490,345143407.0,74.0,23892
September-2017,13522000,13433000,26955000,1575,355792798.0,70.5,22340
October-2017,13509000,13495000,27004000,3705,392026633.0,64.1,24523
November-2017,13505000,13538000,27043000,1807,355160411.0,46.6,22822
December-2017,13500000,13562000,27062000,1677,336255354.0,33.4,20120
January-2018,13418000,13554000,26972000,785,332071923.0,31.7,23645
Feburary-2018,13453000,13618000,27071000,765,321671050.0,42.0,21478
March-2018,13441000,13593000,27034000,1300,358477452.0,40.1,22257
April-2018,13488000,13669000,27157000,2098,350125610.0,49.5,21129
May -2018,13555000,13718000,27273000,4472,371869773.0,66.9,21834
June-2018,13613000,13791000,27404000,7398,359296918.0,71.7,19362
July-2018,13690000,13853000,27543000,8742,341633659.0,77.6,20676
August-2018,13768000,13915000,27683000,9022,344387310.0,78.1,21177
September-2018,13854000,13923000,27777000,5270,342691252.0,70.7,18305
October-2018,13951000,13919000,27870000,3660,393073268.0,57.7,19289
November-2018,14026000,13928000,27954000,2240,347521267.0,44.4,17805
December-2018,14093000,13933000,28026000,2621,332605946.0,40.1,17241
January-2019,14186000,13949000,28135000,1366,324801572.0,32.5,19945
Feburary-2019,14229000,13951000,28180000,1233,308163742.0,36.2,17579
March-2019,14346000,14042000,28388000,1551,358932605.0,41.7,19566
April-2019,14350000,14033000,28383000,2616,368374466.0,55.5,19059
May -2019,14397000,14094000,28491000,4623,377957041.0,62.2,19459
June-2019,14392000,14101000,28493000,7966,355937330.0,71.7,17330
July-2019,14356000,14131000,28487000,8706,361403384.0,79.6,19437
August-2019,14309000,14166000,28475000,27747,360124912.0,75.5,17975
September-2019,14299000,14215000,28514000,20736,364561346.0,70.4,16536
October-2019,14271000,14229000,28500000,23025,393997487.0,59.9,17304
November-2019,14200000,14164000,28364000,14965,361417409.0,43.9,15404
December-2019,14192000,14256000,28448000,4801,358684934.0,38.3,13495
January-2020,14186000,14294000,28480000,3555,359821941.0,39.1,16040
Feburary-2020,14189000,14336000,28525000,3725,347948657.0,40.1,15304
March-2020,13447000,13609000,27056000,9666,197229374.0,48.0,13079
April-2020,12274000,12417000,24691000,18686,44859977.0,50.4,8247
May -2020,11024000,11122000,22146000,19925,59360366.0,60.3,13491
June-2020,9881000,9971000,19852000,16430,89272178.0,73.7,8013
July-2020,8782000,8888000,17670000,7015,122598946.0,80.0,7353
August-2020,7701000,7768000,15469000,1925,132133277.0,76.9,9701
September-2020,6772000,6813000,13585000,8847,138768888.0,68.8,11152
October-2020,5851000,5798000,11649000,18196,148381509.0,57.9,12858
November-2020,5000000,4869000,9869000,13543,128626513.0,53.0,11352
December-2020,4078000,3863000,7941000,5624,129449046.0,39.2,12397
January-2021,3296000,3115000,6411000,5657,123738187.0,34.8,13410
Feburary-2021,2560000,2348000,4908000,6332,113013360.0,34.2,11528
March-2021,2426000,2191000,4617000,11953,148786492.0,45.8,13840
April-2021,2970000,2639000,5609000,25052,150213027.0,54.6,10296
May -2021,3696000,3175000,6871000,33266,166924605.0,62.9,11701
June-2021,4475000,3703000,8178000,32649,190793640.0,74.3,12721
July-2021,5324000,4280000,9604000,33637,192283217.0,76.0,13454
August-2021,6119000,4847000,10966000,32601,186872894.0,77.5,13599
September-2021,6763000,5377000,12140000,42408,200178308.0,70.3,13609
October-2021,7410000,6031000,13441000,29588,228172736.0,62.0,14341
November-2021,8223000,6875000,15098000,18699,213222068.0,46.2,12965
December-2021,9007000,7670000,16677000,7791,208809807.0,43.8,12547
January-2022,9512000,8122000,17634000,7911,173908341.0,30.3,13037
Feburary-2022,10112000,8710000,18822000,7521,195239620.0,37.3,13895
March-2022,10947000,9547000,20494000,16097,234476899.0,45.3,16712
April-2022,11594000,10304000,21898000,33825,233537236.0,52.8,15885
May -2022,12133000,11024000,23157000,39538,239492836.0,64.0,16378
June-2022,12491000,11602000,24093000,37877,247118922.0,71.4,16175
July-2022,12750000,12089000,24839000,35269,229051643.0,79.5,15575
August-2022,13023000,12562000,25585000,34837,238663731.0,79.3,15547
September-2022,13437000,13083000,26520000,26141,256950259.0,69.5,15692
October-2022,13827000,13466000,27293000,29517,265592539.0,56.9,16920
November-2022,14001000,13631000,27632000,19503,258626361.0,50.9,16477
December-2022,14141000,13787000,27928000,8798,249701789.0,38.5,15164
January-2023,14441000,14134000,28575000,7328,246325226.0,43.5,18674
Feburary-2023,14583000,14360000,28943000,3485,238964173.0,41.1,16639
March-2023,14652000,14532000,29184000,73,283549969.0,44.6,18864
April-2023,14706000,14629000,29335000,12858,260264269.0,57.6,18154
May -2023,14757000,14769000,29526000,38509,295955516.0,62.7,20065
June-2023,14752000,14844000,29596000,36861,274625867.0,70.0,19341
July-2023,14703000,14875000,29578000,37153,254373283.0,79.0,19016
August-2023,14703000,15021000,29724000,34305,273114252.0,75.0,19753
September-2023,14608000,15017000,29625000,27751,286907684.0,69.4,18324
October-2023,14531000,15117000,29648000,30103,296063827.0,60.5,19798
November-2023,14509000,15256000,29765000,19719,283241071.0,46.7,19032
December-2023,14511000,15344000,29855000,7643,276034333.0,44.6,17596
