month_year,Event ID
January_2014,639
February_2014,577
March_2014,782
April_2014,1877
May_2014,3946
June_2014,6167
July_2014,7206
August_2014,7650
September_2014,4183
October_2014,3297
November_2014,1680
December_2014,1947
January_2015,720
February_2015,784
March_2015,1031
April_2015,2053
May_2015,4327
June_2015,6627
July_2015,7811
August_2015,8198
September_2015,4440
October_2015,3350
November_2015,1590
December_2015,1624
January_2016,649
February_2016,612
March_2016,929
April_2016,1933
May_2016,4106
June_2016,6640
July_2016,8233
August_2016,8143
September_2016,4490
October_2016,3528
November_2016,1626
December_2016,1506
January_2017,765
February_2017,718
March_2017,976
April_2017,2327
May_2017,4082
June_2017,7005
July_2017,8603
August_2017,7490
September_2017,1575
October_2017,3705
November_2017,1807
December_2017,1677
January_2018,785
February_2018,765
March_2018,1300
April_2018,2098
May_2018,4472
June_2018,7398
July_2018,8742
August_2018,9022
September_2018,5270
October_2018,3660
November_2018,2240
December_2018,2621
January_2019,1366
February_2019,1233
March_2019,1551
April_2019,2616
May_2019,4623
June_2019,7966
July_2019,8706
August_2019,27747
September_2019,20736
October_2019,23025
November_2019,14965
December_2019,4801
January_2020,3555
February_2020,3725
March_2020,9666
April_2020,18686
May_2020,19925
June_2020,16430
July_2020,7015
August_2020,1925
September_2020,8847
October_2020,18196
November_2020,13543
December_2020,5624
January_2021,5657
February_2021,6332
March_2021,11953
April_2021,25052
May_2021,33266
June_2021,32649
July_2021,33637
August_2021,32601
September_2021,42408
October_2021,29588
November_2021,18699
December_2021,7791
January_2022,7911
February_2022,7521
March_2022,16097
April_2022,33825
May_2022,39538
June_2022,37877
July_2022,35269
August_2022,34837
September_2022,26141
October_2022,29517
November_2022,19503
December_2022,8798
January_2023,7328
February_2023,3485
March_2023,73
April_2023,12858
May_2023,38509
June_2023,36861
July_2023,37153
August_2023,34305
September_2023,27751
October_2023,30103
November_2023,19719
December_2023,7643
January_2024,6000
February_2024,6224
March_2024,3891
April_2024,551
May_2024,563
June_2024,23365
July_2024,33751
August_2024,32128
September_2024,26098
October_2024,28310
November_2024,17415
December_2024,5665
