Month-Year,Number of Tourists (jfk),Number of Tourists (lga),Total_Tourists
January-2014,11894000,12374000,24268000
Feburary-2014,11868000,12315000,24183000
March-2014,11876000,12315000,24191000
April-2014,11955000,12337000,24292000
May -2014,12040000,12369000,24409000
June-2014,12110000,12406000,24516000
July-2014,12163000,12441000,24604000
August-2014,12253000,12454000,24707000
September-2014,12296000,12461000,24757000
October-2014,12375000,12483000,24858000
November-2014,12459000,12518000,24977000
December-2014,12513000,12535000,25048000
January-2015,12594000,12531000,25125000
Feburary-2015,12684000,12608000,25292000
March-2015,12728000,12640000,25368000
April-2015,12806000,12693000,25499000
May -2015,12869000,12738000,25607000
June-2015,12924000,12802000,25726000
July-2015,13001000,12911000,25912000
August-2015,13040000,12996000,26036000
September-2015,13083000,13104000,26187000
October-2015,13136000,13214000,26350000
November-2015,13187000,13314000,26501000
December-2015,13220000,13355000,26575000
January-2016,13255000,13458000,26713000
Feburary-2016,13339000,13545000,26884000
March-2016,13426000,13642000,27068000
April-2016,13425000,13661000,27086000
May -2016,13465000,13747000,27212000
June-2016,13525000,13817000,27342000
July-2016,13532000,13804000,27336000
August-2016,13498000,13771000,27269000
September-2016,13511000,13784000,27295000
October-2016,13494000,13740000,27234000
November-2016,13538000,13781000,27319000
December-2016,13559000,13782000,27341000
January-2017,13620000,13764000,27384000
Feburary-2017,13576000,13689000,27265000
March-2017,13564000,13629000,27193000
April-2017,13581000,13600000,27181000
May -2017,13538000,13546000,27084000
June-2017,13524000,13495000,27019000
July-2017,13523000,13461000,26984000
August-2017,13554000,13467000,27021000
September-2017,13522000,13433000,26955000
October-2017,13509000,13495000,27004000
November-2017,13505000,13538000,27043000
December-2017,13500000,13562000,27062000
January-2018,13418000,13554000,26972000
Feburary-2018,13453000,13618000,27071000
March-2018,13441000,13593000,27034000
April-2018,13488000,13669000,27157000
May -2018,13555000,13718000,27273000
June-2018,13613000,13791000,27404000
July-2018,13690000,13853000,27543000
August-2018,13768000,13915000,27683000
September-2018,13854000,13923000,27777000
October-2018,13951000,13919000,27870000
November-2018,14026000,13928000,27954000
December-2018,14093000,13933000,28026000
January-2019,14186000,13949000,28135000
Feburary-2019,14229000,13951000,28180000
March-2019,14346000,14042000,28388000
April-2019,14350000,14033000,28383000
May -2019,14397000,14094000,28491000
June-2019,14392000,14101000,28493000
July-2019,14356000,14131000,28487000
August-2019,14309000,14166000,28475000
September-2019,14299000,14215000,28514000
October-2019,14271000,14229000,28500000
November-2019,14200000,14164000,28364000
December-2019,14192000,14256000,28448000
January-2020,14186000,14294000,28480000
Feburary-2020,14189000,14336000,28525000
March-2020,13447000,13609000,27056000
April-2020,12274000,12417000,24691000
May -2020,11024000,11122000,22146000
June-2020,9881000,9971000,19852000
July-2020,8782000,8888000,17670000
August-2020,7701000,7768000,15469000
September-2020,6772000,6813000,13585000
October-2020,5851000,5798000,11649000
November-2020,5000000,4869000,9869000
December-2020,4078000,3863000,7941000
January-2021,3296000,3115000,6411000
Feburary-2021,2560000,2348000,4908000
March-2021,2426000,2191000,4617000
April-2021,2970000,2639000,5609000
May -2021,3696000,3175000,6871000
June-2021,4475000,3703000,8178000
July-2021,5324000,4280000,9604000
August-2021,6119000,4847000,10966000
September-2021,6763000,5377000,12140000
October-2021,7410000,6031000,13441000
November-2021,8223000,6875000,15098000
December-2021,9007000,7670000,16677000
January-2022,9512000,8122000,17634000
Feburary-2022,10112000,8710000,18822000
March-2022,10947000,9547000,20494000
April-2022,11594000,10304000,21898000
May -2022,12133000,11024000,23157000
June-2022,12491000,11602000,24093000
July-2022,12750000,12089000,24839000
August-2022,13023000,12562000,25585000
September-2022,13437000,13083000,26520000
October-2022,13827000,13466000,27293000
November-2022,14001000,13631000,27632000
December-2022,14141000,13787000,27928000
January-2023,14441000,14134000,28575000
Feburary-2023,14583000,14360000,28943000
March-2023,14652000,14532000,29184000
April-2023,14706000,14629000,29335000
May -2023,14757000,14769000,29526000
June-2023,14752000,14844000,29596000
July-2023,14703000,14875000,29578000
August-2023,14703000,15021000,29724000
September-2023,14608000,15017000,29625000
October-2023,14531000,15117000,29648000
November-2023,14509000,15256000,29765000
December-2023,14511000,15344000,29855000
January-2024,14427000,15385000,29812000
Feburary-2024,14385000,15484000,29869000
March-2024,14270000,15500000,29770000
April-2024,14172000,15520000,29692000
May -2024,14097000,15539000,29636000
June-2024,14073000,15611000,29684000
July-2024,14084000,15728000,29812000
August-2024,14054000,15733000,29787000
September-2024,14075000,15807000,29882000
October-2024,14086000,15833000,29919000
November-2024,14027000,15777000,29804000
December-2024,14065000,15870000,29935000
