MONTH,Number of Arrests
2018-01,23645
2018-02,21478
2015-02,26891
2017-02,22974
2016-12,23242
2017-01,25575
2016-08,26720
2016-07,24368
2015-04,29769
2019-12,13495
2022-12,15164
2022-11,16477
2016-05,27930
2018-09,18305
2018-12,17241
2014-08,33856
2014-07,34819
2014-06,33057
2023-11,19032
2015-01,25151
2019-03,19566
2019-02,17579
2019-06,17330
2017-04,24859
2016-11,23247
2016-06,26266
2014-10,34721
2020-05,13491
2015-06,28501
2020-09,11152
2014-01,32651
2023-09,18324
2015-12,24280
2016-03,28332
2020-08,9701
2018-05,21834
2015-09,28503
2015-05,28489
2019-08,17975
2021-10,14341
2022-09,15692
2021-03,13840
2021-08,13599
2016-02,26870
2017-11,22822
2019-11,15404
2019-10,17304
2022-08,15547
2022-04,15885
2023-03,18864
2023-04,18154
2018-06,19362
2014-11,28724
2023-07,19016
2023-10,19798
2021-11,12965
2021-09,13609
2021-04,10296
2020-10,12858
2017-12,20120
2015-03,29807
2015-10,28800
2015-11,25889
2020-06,8013
2020-07,7353
2022-02,13895
2022-01,13037
2017-08,23892
2017-09,22340
2014-02,30744
2018-10,19289
2018-11,17805
2014-09,31671
2021-12,12547
2014-12,19057
2021-02,11528
2016-04,26683
2020-11,11352
2017-06,23240
2017-05,24819
2016-10,26718
2019-07,19437
2020-04,8247
2014-05,36024
2014-03,36070
2018-07,20676
2023-06,19341
2016-01,27182
2021-01,13410
2019-05,19459
2020-12,12397
2018-04,21129
2017-03,25402
2016-09,24845
2019-09,16536
2015-08,31168
2015-07,29945
2020-02,15304
2020-03,13079
2022-03,16712
2022-05,16378
2023-02,16639
2022-10,16920
2023-05,20065
2021-07,13454
2021-06,12721
2021-05,11701
2019-01,19945
2018-03,22257
2017-07,23287
2020-01,16040
2022-06,16175
2022-07,15575
2023-01,18674
2017-10,24523
2014-04,34481
2018-08,21177
2023-08,19753
2023-12,17596
2019-04,19059
